"genre","start_year","average_rating","num_votes","primary_title","tconst","priority","title_type","genres","directors"
"Comedy",2025,6.5,41532,"Good Fortune","tt27543578",True,"movie","Comedy - Fantasy - Romance","Aziz Ansari"
"Fantasy",2025,6.5,41532,"Good Fortune","tt27543578",True,"movie","Comedy - Fantasy - Romance","Aziz Ansari"
"Romance",2025,6.5,41532,"Good Fortune","tt27543578",True,"movie","Comedy - Fantasy - Romance","Aziz Ansari"
"Fantasy",2025,5.8,52192,"Death of a Unicorn","tt28443655",True,"movie","Comedy - Fantasy - Horror","Alex Scharfman"
"Adventure",2026,NULL,NULL,"Spider-Noir","tt30460310",False,"tvSeries","Action - Adventure - Crime","Harry Bradbeer"
"Action",2026,NULL,NULL,"The Odyssey","tt33764258",False,"movie","Action - Adventure - Fantasy","Christopher Nolan"
"Drama",2026,NULL,NULL,"Photograph 51","tt5033276",False,"movie","Drama","Tom Hooper"
"Comedy",2026,4.6,3445,"Outcome","tt23724682",False,"movie","Comedy - Crime - Drama","Jonah Hill"
"Crime",2026,4.6,3445,"Outcome","tt23724682",False,"movie","Comedy - Crime - Drama","Jonah Hill"
"Action",2026,NULL,NULL,"Spider-Noir","tt30460310",False,"tvSeries","Action - Adventure - Crime","Harry Bradbeer"
"Drama",2026,4.6,3445,"Outcome","tt23724682",False,"movie","Comedy - Crime - Drama","Jonah Hill"
"Adventure",2026,7.5,32683,"Hoppers","tt26443616",False,"movie","Adventure - Animation - Comedy","Daniel Chong"
"Animation",2026,7.5,32683,"Hoppers","tt26443616",False,"movie","Adventure - Animation - Comedy","Daniel Chong"
"Comedy",2026,7.5,32683,"Hoppers","tt26443616",False,"movie","Adventure - Animation - Comedy","Daniel Chong"
"Action",2026,NULL,NULL,"The Sheep Detectives","tt32565993",True,"movie","Action - Comedy - Mystery","Kyle Balda"
"Drama",2026,NULL,NULL,"Digger","tt31450459",False,"movie","Comedy - Drama","Alejandro G. Iñárritu"
"Crime",2026,NULL,NULL,"Spider-Noir","tt30460310",False,"tvSeries","Action - Adventure - Crime","Harry Bradbeer"
"Fantasy",2026,NULL,NULL,"The Odyssey","tt33764258",False,"movie","Action - Adventure - Fantasy","Christopher Nolan"
"Adventure",2026,NULL,NULL,"The Odyssey","tt33764258",False,"movie","Action - Adventure - Fantasy","Christopher Nolan"
"Mystery",2026,NULL,NULL,"The Sheep Detectives","tt32565993",True,"movie","Action - Comedy - Mystery","Kyle Balda"
"Comedy",2026,NULL,NULL,"The Sheep Detectives","tt32565993",True,"movie","Action - Comedy - Mystery","Kyle Balda"
"Comedy",2026,NULL,NULL,"Digger","tt31450459",False,"movie","Comedy - Drama","Alejandro G. Iñárritu"
"Action",2026,6.3,85248,"War Machine","tt15940132",False,"movie","Action - Sci-Fi - Thriller","Patrick Hughes"
"Sci-Fi",2026,6.3,85248,"War Machine","tt15940132",False,"movie","Action - Sci-Fi - Thriller","Patrick Hughes"
"Thriller",2026,6.3,85248,"War Machine","tt15940132",False,"movie","Action - Sci-Fi - Thriller","Patrick Hughes"
"Adventure",2026,8.4,195948,"Project Hail Mary","tt12042730",False,"movie","Adventure - Comedy - Sci-Fi","Phil Lord - Christopher Miller"
"Comedy",2026,8.4,195948,"Project Hail Mary","tt12042730",False,"movie","Adventure - Comedy - Sci-Fi","Phil Lord - Christopher Miller"
"Sci-Fi",2026,8.4,195948,"Project Hail Mary","tt12042730",False,"movie","Adventure - Comedy - Sci-Fi","Phil Lord - Christopher Miller"
"Adventure",NULL,NULL,NULL,"The Incal","tt15843316",False,"movie","Adventure - Comedy - Crime","Taika Waititi"
"Comedy",NULL,NULL,NULL,"The Incal","tt15843316",False,"movie","Adventure - Comedy - Crime","Taika Waititi"
"Crime",NULL,NULL,NULL,"The Incal","tt15843316",False,"movie","Adventure - Comedy - Crime","Taika Waititi"
