"tconst","start_year","average_rating","num_votes","primary_title","priority","title_type","genres","directors"
"tt13849558",2022,6.1,6935,"Corner Office",True,"movie","Comedy - Drama - Mystery","Joachim Back"
"tt20225374",2022,6.0,27025,"Vesper",False,"movie","Adventure - Drama - Sci-Fi","Bruno Samper - Kristina Buozyte"
"tt15318872",2022,7.1,79314,"Werewolf by Night",False,"tvMovie","Action - Drama - Fantasy","Michael Giacchino"
"tt11985484",2022,6.3,74,"Killer of Men",False,"movie","Thriller","Tzvi"
"tt12477480",2022,7.3,68638,"Decision to Leave",False,"movie","Crime - Drama - Mystery","Park Chan-wook"
"tt16118722",2022,8.0,5319,"Tony Hawk: Until the Wheels Fall Off",False,"movie","Biography - Documentary - Sport","Sam Jones"
"tt19623228",2022,7.1,9609,"Godland",False,"movie","Drama","Hlynur Pálmason"
"tt13320662",2022,6.7,35934,"Slumberland",False,"movie","Adventure - Comedy - Drama","Francis Lawrence"
"tt12724306",2022,5.6,8653,"Glorious",False,"movie","Horror - Mystery - Thriller","Rebekah McKendry"
"tt7693316",2022,6.6,32611,"Devotion",False,"movie","Action - Biography - Drama","J.D. Dillard"
"tt9737876",2022,6.6,20749,"Narvik: Hitler's First Defeat",False,"movie","Drama - History - War","Erik Skjoldbjærg"
"tt7775720",2022,7.4,9491,"Spoiler Alert",False,"movie","Comedy - Drama - Romance","Michael Showalter"
"tt7947604",2022,6.7,9124,"In from the Side",False,"movie","Drama - Romance - Sport","Matt Carter"
"tt18335752",2022,8.3,101288,"1923",False,"tvSeries","Drama - Western","Guy Ferland - Ben Richardson"
"tt18298588",2022,5.8,6885,"Monolith",False,"movie","Drama - Horror - Mystery","Matt Vesely"
"tt1649418",2022,6.5,271743,"The Gray Man",False,"movie","Action - Mystery - Thriller","Anthony Russo - Joe Russo"
"tt14402146",2022,6.7,27249,"Empire of Light",True,"movie","Drama - Romance","Sam Mendes"
"tt13055982",2022,4.8,4044,"Savage Salvation",False,"movie","Action - Thriller","Randall Emmett"
"tt10648342",2022,6.1,459016,"Thor: Love and Thunder",False,"movie","Action - Adventure - Comedy","Taika Waititi"
"tt13320622",2022,6.1,176163,"The Lost City",False,"movie","Action - Adventure - Comedy","Adam Nee - Aaron Nee"
"tt10483152",2022,6.9,3097,"Unicorn Wars",True,"movie","Action - Animation - Comedy","Alberto Vázquez"
"tt3915174",2022,7.8,223594,"Puss in Boots: The Last Wish",True,"movie","Action - Adventure - Animation","Januel Mercado - Joel Crawford"
"tt10298840",2022,5.7,50540,"Strange World",False,"movie","Action - Adventure - Animation","Don Hall - Qui Nguyen"
"tt4925252",2022,5.1,418,"Daniel's Gotta Die",False,"movie","Comedy","Jeremy LaLonde"
